GO	cluster	Description	NES_sol_Mu	NES_grp_Mu	category_Mu	delta_NES_Mu	NES_sol_Me	NES_grp_Me	category_Me	delta_NES_Me
GO:0043687	13	post-translational protein modification	NA	NA	NA	NA	1.4807169724526	NA	solitary_specific	NA
GO:0055064	21	chloride ion homeostasis	NA	NA	NA	NA	-2.03034078062686	-2.21346408456845	shared_same_direction	-0.18312330394159
GO:0055081	21	monoatomic anion homeostasis	NA	NA	NA	NA	-2.03034078062686	-2.21346408456845	shared_same_direction	-0.18312330394159
GO:0006606	16	protein import into nucleus	NA	NA	NA	NA	1.822587847464	NA	solitary_specific	NA
GO:0033108	11	mitochondrial respiratory chain complex assembly	NA	NA	NA	NA	1.85708453822881	NA	solitary_specific	NA
GO:0006403	26	RNA localization	NA	NA	NA	NA	1.81368128406519	NA	solitary_specific	NA
GO:0015849	26	organic acid transport	NA	NA	NA	NA	-1.64552443599899	NA	solitary_specific	NA
GO:0071346	7	cellular response to type II interferon	NA	NA	NA	NA	1.91821287712049	NA	solitary_specific	NA
GO:0042594	6	response to starvation	NA	NA	NA	NA	1.82539282143571	NA	solitary_specific	NA
GO:0015711	26	organic anion transport	NA	NA	NA	NA	-1.59155787566236	NA	solitary_specific	NA
GO:0050658	26	RNA transport	NA	NA	NA	NA	1.82341308638997	NA	solitary_specific	NA
GO:0046148	27	pigment biosynthetic process	NA	NA	NA	NA	1.92147084655815	NA	solitary_specific	NA
GO:0030163	13	protein catabolic process	NA	NA	NA	NA	1.44275238567037	1.4780841139064	shared_same_direction	0.0353317282360301
GO:0002548	9	monocyte chemotaxis	NA	NA	NA	NA	1.92132055706255	2.08374835571655	shared_same_direction	0.162427798654
GO:0006397	13	mRNA processing	NA	NA	NA	NA	1.47672465334354	NA	solitary_specific	NA
GO:0030488	13	tRNA methylation	NA	NA	NA	NA	1.85651913440119	NA	solitary_specific	NA
GO:0022904	17	respiratory electron transport chain	NA	NA	NA	NA	NA	2.21827879007646	group_specific	NA
GO:0006884	11	cell volume homeostasis	NA	NA	NA	NA	NA	-2.2188585976022	group_specific	NA
GO:0032981	11	mitochondrial respiratory chain complex I assembly	NA	NA	NA	NA	NA	2.17451156259723	group_specific	NA
GO:0043484	13	regulation of RNA splicing	NA	NA	NA	NA	NA	-1.98577845654041	group_specific	NA
GO:0042254	11	ribosome biogenesis	NA	NA	NA	NA	NA	1.73248067197623	group_specific	NA
GO:0098542	6	defense response to other organism	NA	NA	NA	NA	NA	1.73925329217277	group_specific	NA
GO:0006952	6	defense response	NA	NA	NA	NA	NA	1.6183845039238	group_specific	NA
GO:0006457	3	protein folding	NA	NA	NA	NA	NA	1.71712975189804	group_specific	NA
GO:0007018	3	microtubule-based movement	NA	NA	NA	NA	NA	-1.60870236058141	group_specific	NA
GO:0046034	27	ATP metabolic process	NA	NA	NA	NA	NA	1.82289948101896	group_specific	NA
GO:0071347	7	cellular response to interleukin-1	NA	NA	NA	NA	NA	2.03273721923518	group_specific	NA
GO:0034612	7	response to tumor necrosis factor	NA	NA	NA	NA	NA	1.89398703863592	group_specific	NA
GO:0071356	7	cellular response to tumor necrosis factor	NA	NA	NA	NA	NA	1.89398703863592	group_specific	NA
GO:0001578	11	microtubule bundle formation	NA	NA	NA	NA	NA	-1.87351393170822	group_specific	NA
GO:0070374	4	positive regulation of ERK1 and ERK2 cascade	NA	NA	NA	NA	NA	1.81727908255926	group_specific	NA
